congress,year_start,chi_normalized,center_density,vdr_inv_raw,num_members
1,1789,0.5899588568609545,0.27956989247311825,,93
2,1791,0.5808548456287487,0.27450980392156865,0.35213676599738936,102
3,1793,0.5206672885181678,0.2357142857142857,0.5027774090385433,140
4,1795,0.5449292992149322,0.16129032258064516,0.1825139812762111,155
5,1797,0.5591761499625799,0.2484472049689441,0.4362623671782049,161
6,1799,0.5544691455227381,0.25165562913907286,0.284206115549438,151
7,1801,0.5511510199129058,0.3422818791946309,0.1580390575157551,149
8,1803,0.5846854143489568,0.5181347150259067,0.13939506892293552,193
9,1805,0.6309474012875641,0.5108695652173914,0.0910493350508003,184
10,1807,0.6261580779660316,0.45454545454545453,0.41315152419585366,187
11,1809,0.5860528772826471,0.3484848484848485,0.2951815057594607,198
12,1811,0.5648988807789633,0.3945945945945946,0.2924458769494005,185
13,1813,0.5377578502063884,0.38016528925619836,0.28663612876884953,242
14,1815,0.580864361436734,0.3292181069958848,0.22773981707100754,243
15,1817,0.5456509859496065,0.3360995850622407,0.22451195434109497,241
16,1819,0.5545809418733536,0.3373015873015873,0.2556178163145212,252
17,1821,0.544269466702958,0.31746031746031744,0.5654481668693435,252
18,1823,0.612498166554973,0.3726937269372694,0.3319400247686034,271
19,1825,0.6364539591711812,0.3745583038869258,0.2856251733834236,283
20,1827,0.6355264674885541,0.32608695652173914,0.2880889229779931,276
21,1829,0.633548181035696,0.2773722627737226,0.2801534125446589,274
22,1831,0.6118746266705807,0.2673992673992674,0.3059487118337051,273
23,1833,0.5868774536364244,0.36507936507936506,0.1866951220520343,315
24,1835,0.594186575042934,0.4308176100628931,0.39307224424782894,318
25,1837,0.5871008371139108,0.3943217665615142,0.11825074133799741,317
26,1839,0.5657528080515073,0.38801261829652994,0.14813010965902348,317
27,1841,0.5484541434075488,0.2476489028213166,0.18097614060213718,319
28,1843,0.5569047662376319,0.3559322033898305,0.1727836552314446,295
29,1845,0.5337736322296244,0.3836065573770492,0.32012839136222526,305
30,1847,0.5433339883318811,0.33116883116883117,0.1344782593500288,308
31,1849,0.5477744115233111,0.3194888178913738,0.22417526253733572,313
32,1851,0.5368232928537084,0.38461538461538464,0.3174427935922035,312
33,1853,0.5712006631803765,0.3870967741935484,0.4977277749226032,310
34,1855,0.6461787696887875,0.19933554817275748,0.26094349387388116,301
35,1857,0.6359486574910987,0.275,0.23854233930672739,320
36,1859,0.5925665219976833,0.18095238095238095,0.33946362329003144,315
37,1861,0.606582195415771,0.36727272727272725,0.5253387208125541,275
38,1863,0.5571493520141687,0.25,0.9389067058460415,244
39,1865,0.5978693099581356,0.6360153256704981,0.8581843071198111,261
40,1867,0.5848300749614733,0.7218543046357616,0.7913115642875308,302
41,1869,0.5542969666564852,0.6272189349112426,0.4868501897890744,338
42,1871,0.5619453115755983,0.513677811550152,0.2898261198921006,329
43,1873,0.5709759194132185,0.6161879895561357,0.3033275349441717,383
44,1875,0.5491569840568836,0.2750642673521851,0.1492571100997497,389
45,1877,0.6139332718111375,0.15844155844155844,0.13364727190077758,385
46,1879,0.6360769163965692,0.15526315789473685,0.22172431839313428,380
47,1881,0.6344279585750058,0.2430379746835443,0.1250629111731617,395
48,1883,0.5826591784691088,0.27078384798099764,0.3840380472330575,421
49,1885,0.6203268896499534,0.23501199040767387,0.31601928168192134,417
50,1887,0.6008134941008206,0.14496314496314497,0.32792115277700495,407
51,1889,0.6400338348801492,0.1905829596412556,0.25116655675170785,446
52,1891,0.5742647104844808,0.4444444444444444,0.10019819878040358,441
53,1893,0.5620256312298252,0.3432203389830508,0.1726954369123385,472
54,1895,0.6083683427135326,0.487964989059081,0.4075618103294742,457
55,1897,0.621546574670117,0.34475374732334046,0.2088237749923985,467
56,1899,0.5984587021552216,0.3099787685774947,0.3439704474305997,471
57,1901,0.6149710870279007,0.38247863247863245,0.3129730302658016,468
58,1903,0.5968202333124165,0.406570841889117,0.23597931460022717,487
59,1905,0.6183296123023176,0.5303643724696356,0.2933045726925367,494
60,1907,0.6206573445028755,0.4431137724550898,0.2839296992239726,501
61,1909,0.6129744193153257,0.3717693836978131,0.3229278255306013,503
62,1911,0.5643743926994835,0.2862669245647969,0.1713805057263181,517
63,1913,0.5261067409822836,0.47186932849364793,0.18509719406570413,551
64,1915,0.5520319639049264,0.23345588235294118,0.15600254164248387,544
65,1917,0.5452017187251478,0.1492007104795737,0.1685196544006405,563
66,1919,0.5299843431664222,0.24416517055655296,0.4924459250335695,557
67,1921,0.5399502413960648,0.5565529622980251,0.2507394122519935,557
68,1923,0.5397550156854806,0.24508050089445438,0.23343330662486975,559
69,1925,0.5413622665642175,0.40293040293040294,0.16607993346904423,546
70,1927,0.5452103417101473,0.28623853211009176,0.16353014991744136,545
71,1929,0.5340965718217747,0.43137254901960786,0.2540266630102199,561
72,1931,0.588805673248531,0.17235188509874327,0.17759288575842744,557
73,1933,0.6253401579193945,0.41560798548094374,0.12404469733671096,551
74,1935,0.6105282883495946,0.4230769230769231,0.12322408041973369,546
75,1937,0.5855739129307099,0.45636363636363636,0.18219133919911673,550
76,1939,0.6237627078370043,0.36964285714285716,0.15795330126808999,560
77,1941,0.6007362805527813,0.381294964028777,0.1436860166168301,556
78,1943,0.6233726355209196,0.2545126353790614,0.136576148791431,554
79,1945,0.6032033170668686,0.3267504488330341,0.1270288228658934,557
80,1947,0.6714066437461323,0.3978102189781022,0.12148104000534575,548
81,1949,0.6193486607790046,0.34296028880866425,0.10078483611749091,554
82,1951,0.6448396691044572,0.3248175182481752,0.11297100569993747,548
83,1953,0.6753039317106655,0.36,0.10594681000662465,550
84,1955,0.6619838294413319,0.31226765799256506,0.1038204956386952,538
85,1957,0.6812041954095067,0.32051282051282054,0.10341658542678649,546
86,1959,0.6777519737190804,0.3510054844606947,0.10400897311949565,547
87,1961,0.6554281753201376,0.2990990990990991,0.08488573963911245,555
88,1963,0.648545880548825,0.28153564899451555,0.12460486294504614,547
89,1965,0.6219473679372196,0.4051094890510949,0.11845989034520647,548
90,1967,0.6085712978536729,0.2587800369685767,0.12737379716335465,541
91,1969,0.6081515839575244,0.2391304347826087,0.12472310594382341,552
92,1971,0.6136160256457548,0.2427007299270073,0.13732871898104715,548
93,1973,0.5995495372486499,0.21062271062271062,0.16339820252743648,546
94,1975,0.56356748365903,0.36279926335174956,0.20560128856290585,543
95,1977,0.5512022727710457,0.3608058608058608,0.21386673765252295,546
96,1979,0.562569745426883,0.3014705882352941,0.41155804398637497,544
97,1981,0.5769721845355824,0.19413919413919414,0.3861971656909981,546
98,1983,0.57620584088608,0.24029574861367836,0.3601156107485588,541
99,1985,0.5888112506897166,0.17744916820702403,0.33626673913941435,541
100,1987,0.5974048510087878,0.22283609576427257,0.30139086082011407,543
101,1989,0.5952407372428726,0.25364963503649635,0.29625517371170906,548
102,1991,0.5981011391033488,0.28125,0.29009447932421345,544
103,1993,0.5995650513326194,0.27289377289377287,0.2932405298368325,546
104,1995,0.6327800462636458,0.16939890710382513,0.28048156645144046,549
105,1997,0.6631476120271748,0.13394495412844037,0.2409958914610207,545
106,1999,0.6688239342335107,0.1141804788213628,0.2438428101438885,543
107,2001,0.6742910536513751,0.10256410256410256,0.210059746350456,546
108,2003,0.6901595593098654,0.18484288354898337,0.20126636913807358,541
109,2005,0.7059040504744528,0.2199630314232902,0.18866045605042683,541
110,2007,0.7084619597438931,0.1721014492753623,0.19032857165693676,552
111,2009,0.7031306829292465,0.325,0.1326767225270069,560
112,2011,0.7492652274570271,0.2062043795620438,0.13082272187699986,548
113,2013,0.7776931267327539,0.15454545454545454,0.12321419497290177,550
114,2015,0.7958456807014888,0.24907749077490776,0.10948748750308265,542
115,2017,0.7937970682455607,0.2302158273381295,0.11341492560606463,556
116,2019,0.7601518933080853,0.19021739130434784,0.13387389022571083,552
117,2021,0.7640407682736293,0.1556350626118068,0.1312168104412589,559
118,2023,0.7459709485355327,0.046762589928057555,0.1465903839095216,556
119,2025,0.7550733591285632,0.10275229357798166,0.13900426015445713,545
