congress,chi_proxy,vdr_inv_raw,center_density
90,329.23707213883705,0.12737379716335465,0.5268022181146026
91,335.6996743445535,0.12472310594382341,0.5144927536231884
92,336.2615820538736,0.13732871898104715,0.5109489051094891
93,327.35404733776284,0.16339820252743648,0.48534798534798534
94,306.0171436268533,0.20560128856290585,0.4585635359116022
95,300.956440932991,0.21386673765252295,0.4652014652014652
96,306.03794151222434,0.41155804398637497,0.4540441176470588
97,315.026812756428,0.3861971656909981,0.4432234432234432
98,311.72735991936923,0.3601156107485588,0.43807763401109057
99,318.5468866231367,0.33626673913941435,0.4232902033271719
100,324.3908340977718,0.30139086082011407,0.427255985267035
101,326.1919240090942,0.29625517371170906,0.4343065693430657
102,325.3670196722218,0.29009447932421345,0.42463235294117646
103,327.3625180276102,0.2932405298368325,0.36996336996337
104,347.39624539874154,0.28048156645144046,0.2987249544626594
105,361.41544855481027,0.2409958914610207,0.25688073394495414
106,363.1713962887963,0.2438428101438885,0.26335174953959484
107,368.1629152936508,0.210059746350456,0.2600732600732601
108,373.3763215866372,0.20126636913807358,0.26062846580406657
109,381.89409130667894,0.18866045605042683,0.23844731977818853
110,391.071001778629,0.19032857165693676,0.2572463768115942
111,393.75318244037805,0.1326767225270069,0.2785714285714286
112,410.59734464645084,0.13082272187699986,0.1897810218978102
113,427.73121970301463,0.12321419497290177,0.1890909090909091
114,431.34835894020694,0.10948748750308265,0.16605166051660517
115,441.35116994453176,0.11341492560606463,0.17086330935251798
116,419.6038451060631,0.13387389022571083,0.19021739130434784
117,427.09878946495877,0.1312168104412589,0.17889087656529518
118,414.7598473857562,0.1465903839095216,0.17805755395683454
119,411.51498072506695,0.13900426015445713,0.1724770642201835
